id,analysis_id,zone_id,zone_name,track_id,event_type,frame_number,timestamp_ms,position_x,position_y,created_at
event_1_1_40,analysis_001,zone_polygon_2,polygon_2,1,enter,1,40,1501,554,2025-08-21T07:47:53.299900
event_2_1_40,analysis_001,zone_polygon_2,polygon_2,2,enter,1,40,1481,399,2025-08-21T07:47:53.300330
event_4_1_40,analysis_001,zone_polygon_1,polygon_1,4,enter,1,40,292,521,2025-08-21T07:47:53.300952
event_5_1_40,analysis_001,zone_polygon_2,polygon_2,5,enter,1,40,1193,1015,2025-08-21T07:47:53.301663
event_21_1_40,analysis_001,zone_polygon_2,polygon_2,21,enter,1,40,1472,794,2025-08-21T07:47:53.304434
event_27_11_440,analysis_001,zone_polygon_2,polygon_2,27,enter,11,440,1176,542,2025-08-21T07:47:54.444077
event_4_44_1760,analysis_001,zone_polygon_1,polygon_1,4,exit,44,1760,253,671,2025-08-21T07:47:56.804995
event_33_45_1800,analysis_001,zone_polygon_2,polygon_2,33,enter,45,1800,1095,1040,2025-08-21T07:47:56.903948
event_35_53_2120,analysis_001,zone_polygon_1,polygon_1,35,enter,53,2120,366,557,2025-08-21T07:47:57.660881
event_1_64_2560,analysis_001,zone_polygon_2,polygon_2,1,exit,64,2560,1626,819,2025-08-21T07:47:58.657776
event_41_71_2840,analysis_001,zone_polygon_2,polygon_2,41,enter,71,2840,1220,1043,2025-08-21T07:47:59.255100
event_26_86_3440,analysis_001,zone_polygon_2,polygon_2,26,enter,86,3440,1693,472,2025-08-21T07:48:01.043235
event_27_86_3440,analysis_001,zone_polygon_2,polygon_2,27,exit,86,3440,1200,344,2025-08-21T07:48:01.045589
event_27_87_3480,analysis_001,zone_polygon_2,polygon_2,27,enter,87,3480,1200,345,2025-08-21T07:48:01.231174
event_2_87_3480,analysis_001,zone_polygon_2,polygon_2,2,exit,87,3480,1674,761,2025-08-21T07:48:01.231381
event_13_88_3520,analysis_001,zone_polygon_1,polygon_1,13,enter,88,3520,602,528,2025-08-21T07:48:01.418956
event_27_88_3520,analysis_001,zone_polygon_2,polygon_2,27,exit,88,3520,1201,343,2025-08-21T07:48:01.419173
event_13_119_4760,analysis_001,zone_polygon_1,polygon_1,13,exit,119,4760,575,620,2025-08-21T07:48:05.025778
event_13_120_4800,analysis_001,zone_polygon_1,polygon_1,13,enter,120,4800,574,620,2025-08-21T07:48:05.128712
event_13_123_4920,analysis_001,zone_polygon_1,polygon_1,13,exit,123,4920,573,626,2025-08-21T07:48:05.439150
event_26_124_4960,analysis_001,zone_polygon_2,polygon_2,26,exit,124,4960,1631,367,2025-08-21T07:48:05.516864
event_36_125_5000,analysis_001,zone_polygon_1,polygon_1,36,enter,125,5000,581,493,2025-08-21T07:48:05.615656
event_52_144_5760,analysis_001,zone_polygon_1,polygon_1,52,enter,144,5760,425,555,2025-08-21T07:48:07.295778
event_11_146_5840,analysis_001,zone_polygon_2,polygon_2,11,enter,146,5840,1169,355,2025-08-21T07:48:07.622760
event_5_163_6520,analysis_001,zone_polygon_2,polygon_2,5,exit,163,6520,1096,374,2025-08-21T07:48:10.509532
event_36_181_7240,analysis_001,zone_polygon_1,polygon_1,36,exit,181,7240,548,654,2025-08-21T07:48:11.982674
event_33_198_7920,analysis_001,zone_polygon_2,polygon_2,33,exit,198,7920,1054,415,2025-08-21T07:48:13.591169
event_38_214_8560,analysis_001,zone_polygon_2,polygon_2,38,enter,214,8560,1016,671,2025-08-21T07:48:14.901588
event_41_229_9160,analysis_001,zone_polygon_2,polygon_2,41,exit,229,9160,1266,325,2025-08-21T07:48:16.097757
event_19_244_9760,analysis_001,zone_polygon_2,polygon_2,19,enter,244,9760,990,994,2025-08-21T07:48:17.426325
event_57_255_10200,analysis_001,zone_polygon_2,polygon_2,57,enter,255,10200,1393,1021,2025-08-21T07:48:18.372203
event_59_274_10960,analysis_001,zone_polygon_2,polygon_2,59,enter,274,10960,1543,993,2025-08-21T07:48:20.096308
event_65_296_11840,analysis_001,zone_polygon_2,polygon_2,65,enter,296,11840,1492,1046,2025-08-21T07:48:21.903744
event_74_325_13000,analysis_001,zone_polygon_2,polygon_2,74,enter,325,13000,1464,1042,2025-08-21T07:48:24.058664
event_75_327_13080,analysis_001,zone_polygon_1,polygon_1,75,enter,327,13080,368,528,2025-08-21T07:48:24.238970
event_76_328_13120,analysis_001,zone_polygon_2,polygon_2,76,enter,328,13120,1188,1047,2025-08-21T07:48:24.327796
